Date,Campaign Name,ASIN,Impressions,Clicks,Spend,Sales,ACoS,ROAS
2026-04-20,Organic Coffee Beans Premium,B09XYZ7890,18500,312,245.60,1456.80,16.86,5.93
2026-04-20,Yoga Mat Non-Slip Pro,B08ABC1234,12400,198,156.40,623.50,25.09,3.99
2026-04-20,LED Desk Lamp Smart,B07DEF5678,9800,145,112.30,445.20,25.22,3.96
2026-04-20,Bluetooth Speaker Waterproof,B06GHI9012,15600,267,198.70,892.40,22.27,4.49
2026-04-20,Cheap Gadget Low Quality,B05JKL3456,8500,156,89.50,0.00,0.00,0.00
2026-04-20,Overpriced Widget Fail,B04MNO7890,6200,98,67.80,0.00,0.00,0.00
2026-04-19,Organic Coffee Beans Premium,B09XYZ7890,17890,298,234.50,1389.20,16.88,5.92
2026-04-19,Yoga Mat Non-Slip Pro,B08ABC1234,11980,189,149.80,598.40,25.03,3.99
2026-04-19,LED Desk Lamp Smart,B07DEF5678,9450,138,107.60,426.80,25.21,3.97
2026-04-19,Bluetooth Speaker Waterproof,B06GHI9012,15120,254,189.40,851.30,22.25,4.49
2026-04-19,Cheap Gadget Low Quality,B05JKL3456,8200,149,85.30,0.00,0.00,0.00
2026-04-19,Overpriced Widget Fail,B04MNO7890,5980,94,65.20,0.00,0.00,0.00
2026-04-18,Organic Coffee Beans Premium,B09XYZ7890,19200,325,256.80,1523.40,16.85,5.93
2026-04-18,Yoga Mat Non-Slip Pro,B08ABC1234,12890,205,162.30,647.80,25.05,3.99
2026-04-18,LED Desk Lamp Smart,B07DEF5678,10200,151,117.20,464.60,25.23,3.96
2026-04-18,Bluetooth Speaker Waterproof,B06GHI9012,16200,278,207.30,931.80,22.25,4.49
2026-04-18,Cheap Gadget Low Quality,B05JKL3456,8800,162,92.40,0.00,0.00,0.00
2026-04-18,Overpriced Widget Fail,B04MNO7890,6450,102,70.50,0.00,0.00,0.00
2026-04-17,Organic Coffee Beans Premium,B09XYZ7890,18200,308,243.20,1442.60,16.86,5.93
2026-04-17,Yoga Mat Non-Slip Pro,B08ABC1234,12200,195,154.20,615.40,25.06,3.99
2026-04-17,LED Desk Lamp Smart,B07DEF5678,9650,143,110.80,439.40,25.22,3.96
2026-04-17,Bluetooth Speaker Waterproof,B06GHI9012,15400,263,196.10,881.20,22.26,4.49
2026-04-17,Cheap Gadget Low Quality,B05JKL3456,8350,153,87.60,0.00,0.00,0.00
2026-04-17,Overpriced Widget Fail,B04MNO7890,6100,96,66.40,0.00,0.00,0.00
2026-04-16,Organic Coffee Beans Premium,B09XYZ7890,17650,295,232.80,1380.50,16.86,5.93
2026-04-16,Yoga Mat Non-Slip Pro,B08ABC1234,11750,187,147.90,590.20,25.06,3.99
2026-04-16,LED Desk Lamp Smart,B07DEF5678,9320,136,105.40,417.80,25.22,3.96
2026-04-16,Bluetooth Speaker Waterproof,B06GHI9012,14890,249,185.70,834.60,22.25,4.49
2026-04-16,Cheap Gadget Low Quality,B05JKL3456,8100,147,84.20,0.00,0.00,0.00
2026-04-16,Overpriced Widget Fail,B04MNO7890,5850,91,63.10,0.00,0.00,0.00
2026-04-15,Organic Coffee Beans Premium,B09XYZ7890,18900,318,251.20,1489.70,16.86,5.93
2026-04-15,Yoga Mat Non-Slip Pro,B08ABC1234,12600,201,159.10,635.20,25.05,3.99
2026-04-15,LED Desk Lamp Smart,B07DEF5678,9950,148,114.70,454.60,25.23,3.96
2026-04-15,Bluetooth Speaker Waterproof,B06GHI9012,15800,271,202.10,908.40,22.25,4.49
2026-04-15,Cheap Gadget Low Quality,B05JKL3456,8650,158,90.70,0.00,0.00,0.00
2026-04-15,Overpriced Widget Fail,B04MNO7890,6300,99,68.60,0.00,0.00,0.00
2026-04-14,Organic Coffee Beans Premium,B09XYZ7890,17450,291,229.70,1362.40,16.86,5.93
2026-04-14,Yoga Mat Non-Slip Pro,B08ABC1234,11560,184,145.60,581.00,25.06,3.99
2026-04-14,LED Desk Lamp Smart,B07DEF5678,9180,134,103.90,411.90,25.22,3.96
2026-04-14,Bluetooth Speaker Waterproof,B06GHI9012,14650,245,182.50,820.20,22.25,4.49
2026-04-14,Cheap Gadget Low Quality,B05JKL3456,7950,145,82.90,0.00,0.00,0.00
2026-04-14,Overpriced Widget Fail,B04MNO7890,5750,89,61.80,0.00,0.00,0.00
2026-04-10,Organic Coffee Beans Premium,B09XYZ7890,16800,280,221.20,1312.00,16.86,5.93
2026-04-10,Yoga Mat Non-Slip Pro,B08ABC1234,11200,178,140.80,562.00,25.05,3.99
2026-04-10,LED Desk Lamp Smart,B07DEF5678,8900,130,100.70,399.20,25.22,3.96
2026-04-10,Bluetooth Speaker Waterproof,B06GHI9012,14200,238,177.40,797.20,22.26,4.49
2026-04-05,Organic Coffee Beans Premium,B09XYZ7890,15900,265,209.30,1241.50,16.86,5.93
2026-04-05,Yoga Mat Non-Slip Pro,B08ABC1234,10600,168,132.90,530.40,25.06,3.99
2026-04-05,LED Desk Lamp Smart,B07DEF5678,8400,123,95.30,377.80,25.23,3.96
2026-04-05,Bluetooth Speaker Waterproof,B06GHI9012,13400,225,167.70,753.60,22.26,4.49
2026-03-30,Organic Coffee Beans Premium,B09XYZ7890,15200,254,200.50,1189.00,16.86,5.93
2026-03-30,Yoga Mat Non-Slip Pro,B08ABC1234,10100,160,126.50,505.00,25.05,3.99
2026-03-30,LED Desk Lamp Smart,B07DEF5678,8000,117,90.70,359.60,25.22,3.96
2026-03-30,Bluetooth Speaker Waterproof,B06GHI9012,12800,215,160.30,720.40,22.26,4.49
2026-03-25,Organic Coffee Beans Premium,B09XYZ7890,14600,244,192.60,1142.00,16.86,5.93
2026-03-25,Yoga Mat Non-Slip Pro,B08ABC1234,9700,154,121.70,485.80,25.05,3.99
2026-03-25,LED Desk Lamp Smart,B07DEF5678,7700,112,86.80,344.00,25.23,3.96
2026-03-25,Bluetooth Speaker Waterproof,B06GHI9012,12300,206,153.50,690.00,22.25,4.49
2026-03-20,Organic Coffee Beans Premium,B09XYZ7890,14100,236,186.20,1104.50,16.86,5.93
2026-03-20,Yoga Mat Non-Slip Pro,B08ABC1234,9300,148,117.00,467.00,25.05,3.99
2026-03-20,LED Desk Lamp Smart,B07DEF5678,7400,108,83.70,331.80,25.23,3.96
2026-03-20,Bluetooth Speaker Waterproof,B06GHI9012,11800,198,147.60,663.40,22.26,4.49
2026-03-15,Organic Coffee Beans Premium,B09XYZ7890,13600,228,179.90,1067.00,16.86,5.93
2026-03-15,Yoga Mat Non-Slip Pro,B08ABC1234,8900,142,112.30,448.20,25.06,3.99
2026-03-15,LED Desk Lamp Smart,B07DEF5678,7100,104,80.60,319.60,25.22,3.96
2026-03-15,Bluetooth Speaker Waterproof,B06GHI9012,11300,190,141.70,636.80,22.26,4.49
2026-03-10,Organic Coffee Beans Premium,B09XYZ7890,13100,220,173.60,1029.50,16.86,5.93
2026-03-10,Yoga Mat Non-Slip Pro,B08ABC1234,8500,136,107.50,429.00,25.06,3.99
2026-03-10,LED Desk Lamp Smart,B07DEF5678,6800,100,77.50,307.20,25.23,3.96
2026-03-10,Bluetooth Speaker Waterproof,B06GHI9012,10800,182,135.80,610.20,22.26,4.49
2026-03-05,Organic Coffee Beans Premium,B09XYZ7890,12600,212,167.30,992.00,16.86,5.93
2026-03-05,Yoga Mat Non-Slip Pro,B08ABC1234,8100,130,102.70,410.00,25.05,3.99
2026-03-05,LED Desk Lamp Smart,B07DEF5678,6500,96,74.40,295.00,25.22,3.96
2026-03-05,Bluetooth Speaker Waterproof,B06GHI9012,10300,174,129.90,583.60,22.26,4.49
2026-02-28,Organic Coffee Beans Premium,B09XYZ7890,12100,204,161.00,955.00,16.86,5.93
2026-02-28,Yoga Mat Non-Slip Pro,B08ABC1234,7700,124,98.00,391.00,25.06,3.99
2026-02-28,LED Desk Lamp Smart,B07DEF5678,6200,92,71.30,282.80,25.22,3.96
